 conv1                                                                           1.08361s
 res4d_branch2a_relu                                                             0.001043s
 res4d_branch2b                                                                  0.098984s
 bn4d_branch2b                                                                   0.036716s
 scale4d_branch2b                                                                0.030331s
 res4d_branch2b_relu                                                             0.00104s
 res4d_branch2c                                                                  0.087347s
 bn4d_branch2c                                                                   0.141714s
 scale4d_branch2c                                                                0.075411s
 res4d                                                                           0.03451s
 res4d_relu                                                                      0.003972s
 res4d_res4d_relu_0_split                                                        6e-06s
 res4e_branch2a                                                                  0.055288s
 bn4e_branch2a                                                                   0.036732s
 scale4e_branch2a                                                                0.030355s
 res4e_branch2a_relu                                                             0.001037s
 res4e_branch2b                                                                  0.100361s
 bn4e_branch2b                                                                   0.036858s
 scale4e_branch2b                                                                0.030323s
 res4e_branch2b_relu                                                             0.001041s
 res4e_branch2c                                                                  0.086697s
 bn4e_branch2c                                                                   0.141533s
 scale4e_branch2c                                                                0.075465s
 res4e                                                                           0.034562s
 res4e_relu                                                                      0.003959s
 res4e_res4e_relu_0_split                                                        7e-06s
 res4f_branch2a                                                                  0.055465s
 bn4f_branch2a                                                                   0.036711s
 scale4f_branch2a                                                                0.030378s
 res4f_branch2a_relu                                                             0.001042s
 res4f_branch2b                                                                  0.100636s
 bn4f_branch2b                                                                   0.036682s
 scale4f_branch2b                                                                0.030293s
 res4f_branch2b_relu                                                             0.001045s
 res4f_branch2c                                                                  0.087639s
 bn4f_branch2c                                                                   0.141844s
 scale4f_branch2c                                                                0.075538s
 res4f                                                                           0.034514s
 res4f_relu                                                                      0.003975s
 res4f_res4f_relu_0_split                                                        5e-06s
 res5a_branch1                                                                   0.183093s
 bn5a_branch1                                                                    0.132285s
 scale5a_branch1                                                                 0.069343s
 res5a_branch2a                                                                  0.069419s
 bn5a_branch2a                                                                   0.033763s
 scale5a_branch2a                                                                0.028918s
 res5a_branch2a_relu                                                             0.000564s
 res5a_branch2b                                                                  0.160547s
 bn5a_branch2b                                                                   0.033812s
 scale5a_branch2b                                                                0.028912s
 res5a_branch2b_relu                                                             0.000558s
 res5a_branch2c                                                                  0.093858s
 bn5a_branch2c                                                                   0.129965s
 scale5a_branch2c                                                                0.069261s
 res5a                                                                           0.017161s
 res5a_relu                                                                      0.002013s
 res5a_res5a_relu_0_split                                                        6e-06s
 res5b_branch2a                                                                  0.076321s
 bn5b_branch2a                                                                   0.034317s
 scale5b_branch2a                                                                0.029038s
 res5b_branch2a_relu                                                             0.000562s
 res5b_branch2b                                                                  0.161093s
 bn5b_branch2b                                                                   0.033771s
 scale5b_branch2b                                                                0.028893s
 res5b_branch2b_relu                                                             0.000562s
 res5b_branch2c                                                                  0.094095s
 bn5b_branch2c                                                                   0.132205s
 scale5b_branch2c                                                                0.069299s
 res5b                                                                           0.017124s
 res5b_relu                                                                      0.00202s
 res5b_res5b_relu_0_split                                                        6e-06s
 res5c_branch2a                                                                  0.078614s
 bn5c_branch2a                                                                   0.033714s
 scale5c_branch2a                                                                0.028911s
 res5c_branch2a_relu                                                             0.000568s
 res5c_branch2b                                                                  0.155898s
 bn5c_branch2b                                                                   0.034812s
 scale5c_branch2b                                                                0.02891s
 res5c_branch2b_relu                                                             0.000562s
 res5c_branch2c                                                                  0.094725s
 bn5c_branch2c                                                                   0.130019s
 scale5c_branch2c                                                                0.069263s
 res5c                                                                           0.017292s
 res5c_relu                                                                      0.002015s
 pool5                                                                           0.370887s
 fc1000                                                                          0.00322s
 loss                                                                            0.007418s
