 conv1                                                                           0.466753s
 res4d_branch2a_relu                                                             0.001607s
 res4d_branch2b                                                                  0.293701s
 bn4d_branch2b                                                                   0.040581s
 scale4d_branch2b                                                                0.017807s
 res4d_branch2b_relu                                                             0.001604s
 res4d_branch2c                                                                  0.108669s
 bn4d_branch2c                                                                   0.158201s
 scale4d_branch2c                                                                0.04206s
 res4d                                                                           0.007625s
 res4d_relu                                                                      0.006091s
 res4d_res4d_relu_0_split                                                        0.1046s
 res4e_branch2a                                                                  0.135727s
 bn4e_branch2a                                                                   0.040578s
 scale4e_branch2a                                                                0.017577s
 res4e_branch2a_relu                                                             0.001589s
 res4e_branch2b                                                                  0.295438s
 bn4e_branch2b                                                                   0.040662s
 scale4e_branch2b                                                                0.017535s
 res4e_branch2b_relu                                                             0.001613s
 res4e_branch2c                                                                  0.111252s
 bn4e_branch2c                                                                   0.157701s
 scale4e_branch2c                                                                0.041421s
 res4e                                                                           0.00753s
 res4e_relu                                                                      0.006138s
 res4e_res4e_relu_0_split                                                        0.104624s
 res4f_branch2a                                                                  0.130148s
 bn4f_branch2a                                                                   0.040536s
 scale4f_branch2a                                                                0.017577s
 res4f_branch2a_relu                                                             0.001592s
 res4f_branch2b                                                                  0.296823s
 bn4f_branch2b                                                                   0.040553s
 scale4f_branch2b                                                                0.017686s
 res4f_branch2b_relu                                                             0.001579s
 res4f_branch2c                                                                  0.10853s
 bn4f_branch2c                                                                   0.158279s
 scale4f_branch2c                                                                0.041742s
 res4f                                                                           0.007485s
 res4f_relu                                                                      0.00613s
 res4f_res4f_relu_0_split                                                        0.153477s
 res5a_branch1                                                                   0.45046s
 bn5a_branch1                                                                    0.14247s
 scale5a_branch1                                                                 0.033226s
 res5a_branch2a                                                                  0.160101s
 bn5a_branch2a                                                                   0.035757s
 scale5a_branch2a                                                                0.014804s
 res5a_branch2a_relu                                                             0.00084s
 res5a_branch2b                                                                  0.571083s
 bn5a_branch2b                                                                   0.035808s
 scale5a_branch2b                                                                0.014738s
 res5a_branch2b_relu                                                             0.000842s
 res5a_branch2c                                                                  0.229132s
 bn5a_branch2c                                                                   0.142539s
 scale5a_branch2c                                                                0.033561s
 res5a                                                                           0.003815s
 res5a_relu                                                                      0.0031s
 res5a_res5a_relu_0_split                                                        0.052385s
 res5b_branch2a                                                                  0.251466s
 bn5b_branch2a                                                                   0.03638s
 scale5b_branch2a                                                                0.015321s
 res5b_branch2a_relu                                                             0.000862s
 res5b_branch2b                                                                  0.520576s
 bn5b_branch2b                                                                   0.036225s
 scale5b_branch2b                                                                0.014743s
 res5b_branch2b_relu                                                             0.000833s
 res5b_branch2c                                                                  0.246986s
 bn5b_branch2c                                                                   0.138085s
 scale5b_branch2c                                                                0.035126s
 res5b                                                                           0.003783s
 res5b_relu                                                                      0.003077s
 res5b_res5b_relu_0_split                                                        0.063634s
 res5c_branch2a                                                                  0.233855s
 bn5c_branch2a                                                                   0.036263s
 scale5c_branch2a                                                                0.014778s
 res5c_branch2a_relu                                                             0.000858s
 res5c_branch2b                                                                  0.574761s
 bn5c_branch2b                                                                   0.035783s
 scale5c_branch2b                                                                0.014734s
 res5c_branch2b_relu                                                             0.000826s
 res5c_branch2c                                                                  0.229384s
 bn5c_branch2c                                                                   0.140822s
 scale5c_branch2c                                                                0.033344s
 res5c                                                                           0.003794s
 res5c_relu                                                                      0.003143s
 pool5                                                                           0.377735s
 fc1000                                                                          0.009487s
 loss                                                                            0.00011s
